StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:12.530132	1560616692.530132;2019-06-15	16:38:17.493358	1560616697.493358;00:00:04;00:00:50;5100;4278.66;2217.28;0;0;21235;110944;110944;46;21191;110898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:010000;00:00:00:008000;00:00:00:011000;00:00:00:014000;00:00:00:010000;00:00:00:008000;00:00:00:011000;00:00:00:014000;;63514;44102;3004;269;9;0;0;0;;63514;44102;3004;269;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:17.493900	1560616697.493900;2019-06-15	16:38:22.511551	1560616702.511551;00:00:05;00:00:55;5600;4677.7;2441.46;0;0;23468;134412;134412;100;23414;134312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:008000;00:00:00:011000;00:00:00:013000;00:00:00:007000;00:00:00:008000;00:00:00:011000;00:00:00:013000;;77360;53279;3395;269;9;0;0;0;;77360;53279;3395;269;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:22.512724	1560616702.512724;2019-06-15	16:38:27.515528	1560616707.515528;00:00:05;00:01:00;6100;3787.88;2553.52;0;0;18947;153359;153359;11;19036;153348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016000;00:00:00:009000;00:00:00:018000;00:00:00:014000;00:00:00:016000;00:00:00:009000;00:00:00:018000;00:00:00:014000;;82410;65858;4635;436;9;0;0;0;;82410;65858;4635;436;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:27.516135	1560616707.516135;2019-06-15	16:38:32.522649	1560616712.522649;00:00:05;00:01:05;6600;5561.13;2784.88;0;0;27839;181198;181198;0;27850;181198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:007000;00:00:00:009000;00:00:00:009000;00:00:00:013000;00:00:00:007000;00:00:00:009000;00:00:00:009000;00:00:00:013000;;95474;80300;4979;436;9;0;0;0;;95474;80300;4979;436;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:32.523181	1560616712.523181;2019-06-15	16:38:37.532272	1560616717.532272;00:00:05;00:01:10;7100;5600.72;2986.11;0;0;28054;209252;209252;66;27988;209186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:011000;00:00:00:013000;00:00:00:008000;00:00:00:008000;00:00:00:011000;00:00:00:013000;;106624;96888;5129;536;9;0;0;0;;106624;96887;5130;536;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:37.534015	1560616717.534015;2019-06-15	16:38:42.551980	1560616722.551980;00:00:05;00:01:15;7600;5421.37;3148.73;0;0;27199;236451;236451;20;27245;236431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:013000;00:00:00:009000;00:00:00:010000;00:00:00:013000;00:00:00:013000;00:00:00:009000;00:00:00:010000;00:00:00:013000;;109311;121018;5554;539;9;0;0;0;;109310;121018;5555;539;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:42.552603	1560616722.552603;2019-06-15	16:38:47.516312	1560616727.516312;00:00:04;00:01:20;8100;3595.81;3176.37;0;0;17846;254297;254297;100;17766;254197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:023000;00:00:00:010000;00:00:00:018000;00:00:00:014000;00:00:00:023000;00:00:00:010000;00:00:00:018000;00:00:00:014000;;110062;136732;6552;842;9;0;0;0;;110060;136732;6554;842;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:47.516952	1560616727.516952;2019-06-15	16:38:52.524700	1560616732.524700;00:00:05;00:01:25;8600;4944.48;3280.4;0;0;24757;279054;279054;32;24825;279022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:015000;00:00:00:010000;00:00:00:014000;00:00:00:014000;00:00:00:015000;00:00:00:010000;00:00:00:014000;00:00:00:014000;;114263;156465;7277;1008;9;0;0;0;;114261;156465;7279;1008;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:52.526486	1560616732.526486;2019-06-15	16:38:57.536330	1560616737.536330;00:00:05;00:01:30;9100;6371.53;3452.18;0;0;31915;310969;310969;22;31925;310947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:009000;00:00:00:010000;00:00:00:008000;00:00:00:013000;00:00:00:009000;00:00:00:010000;00:00:00:008000;00:00:00:013000;;122855;179544;7531;1008;9;0;0;0;;122852;179545;7533;1008;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:57.536827	1560616737.536827;2019-06-15	16:39:02.549351	1560616742.549351;00:00:05;00:01:35;9600;5998.2;3586.34;0;0;30063;341032;341032;21;30064;341011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:011000;00:00:00:010000;00:00:00:008000;00:00:00:013000;00:00:00:011000;00:00:00:010000;00:00:00:008000;00:00:00:013000;;128008;204313;7673;1008;9;0;0;0;;128005;204314;7675;1008;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:02.549882	1560616742.549882;2019-06-15	16:39:07.555523	1560616747.555523;00:00:05;00:01:40;10100;6371.23;3725.55;0;0;31888;372920;372920;67;31842;372853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:010000;00:00:00:010000;00:00:00:009000;00:00:00:013000;00:00:00:010000;00:00:00:010000;00:00:00:009000;00:00:00:013000;;135229;228544;8063;1008;9;0;0;0;;135226;228545;8065;1008;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:07.556235	1560616747.556235;2019-06-15	16:39:12.565096	1560616752.565096;00:00:05;00:01:45;10600;6515.77;3858.46;0;0;32631;405551;405551;54;32644;405497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:010000;00:00:00:010000;00:00:00:007000;00:00:00:012000;00:00:00:010000;00:00:00:010000;00:00:00:007000;00:00:00:012000;;142002;254252;8226;1008;9;0;0;0;;141999;254253;8228;1008;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:12.566241	1560616752.566241;2019-06-15	16:39:17.536118	1560616757.536118;00:00:04;00:01:50;11100;4805.19;3901.12;0;0;23877;429428;429428;100;23831;429328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:016000;00:00:00:011000;00:00:00:014000;00:00:00:012000;00:00:00:016000;00:00:00:011000;00:00:00:014000;00:00:00:012000;;144238;275072;8889;1120;9;0;0;0;;144235;275073;8891;1120;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:17.537683	1560616757.537683;2019-06-15	16:39:22.557824	1560616762.557824;00:00:05;00:01:55;11600;5410.56;3966.89;0;0;27161;456589;456589;25;27236;456564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:014000;00:00:00:011000;00:00:00:011000;00:00:00:012000;00:00:00:014000;00:00:00:011000;00:00:00:011000;00:00:00:012000;;146491;299537;9285;1242;9;0;0;0;;146488;299537;9288;1242;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:22.558380	1560616762.558380;2019-06-15	16:39:27.563611	1560616767.563611;00:00:05;00:02:00;12100;4469.13;3987.79;0;0;22368;478957;478957;0;22393;478957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:018000;00:00:00:011000;00:00:00:019000;00:00:00:013000;00:00:00:018000;00:00:00:011000;00:00:00:019000;00:00:00:013000;;148720;318624;10060;1441;94;18;0;0;;148717;318623;10064;1441;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:27.565378	1560616767.565378;2019-06-15	16:39:32.573993	1560616772.573993;00:00:05;00:02:05;12600;5247.2;4038.13;0;0;26278;505235;505235;40;26238;505195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:015000;00:00:00:011000;00:00:00:012000;00:00:00:013000;00:00:00:015000;00:00:00:011000;00:00:00:012000;00:00:00:013000;;151490;341334;10667;1592;94;18;0;0;;151486;341334;10671;1592;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:32.574593	1560616772.574593;2019-06-15	16:39:37.604091	1560616777.604091;00:00:05;00:02:10;13100;4750.25;4065.62;0;0;23889;529124;529124;26;23903;529098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;00:00:00:018000;00:00:00:012000;00:00:00:015000;00:00:00:013000;00:00:00:018000;00:00:00:012000;00:00:00:015000;00:00:00:013000;;152329;363448;11306;1903;94;18;0;0;;152325;363448;11309;1904;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:37.604719	1560616777.604719;2019-06-15	16:39:42.614771	1560616782.614771;00:00:05;00:02:15;13600;4940.12;4098;0;0;24750;553874;553874;100;24676;553774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:018000;00:00:00:012000;00:00:00:009000;00:00:00:013000;00:00:00:018000;00:00:00:012000;00:00:00:009000;00:00:00:013000;;153022;387016;11721;1903;94;18;0;0;;153017;387017;11724;1904;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:42.615358	1560616782.615358;2019-06-15	16:39:47.590671	1560616787.590671;00:00:04;00:02:20;14100;4861.91;4125.1;0;0;24188;578062;578062;100;24188;577962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:015000;00:00:00:012000;00:00:00:014000;00:00:00:013000;00:00:00:015000;00:00:00:012000;00:00:00:014000;00:00:00:013000;;157274;406097;12411;2068;94;18;0;0;;157268;406099;12414;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:47.591332	1560616787.591332;2019-06-15	16:39:52.593510	1560616792.593510;00:00:05;00:02:25;14600;4526.39;4138.9;0;0;22641;600703;600703;100;22641;600603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:015000;00:00:00:012000;00:00:00:012000;00:00:00:013000;00:00:00:015000;00:00:00:012000;00:00:00:012000;00:00:00:013000;;162143;423162;13118;2068;94;18;0;0;;162137;423164;13121;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:52.594107	1560616792.594107;2019-06-15	16:39:57.603993	1560616797.603993;00:00:05;00:02:30;15100;5301.26;4177.65;0;0;26554;627257;627257;100;26554;627157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:011000;00:00:00:012000;00:00:00:010000;00:00:00:013000;00:00:00:011000;00:00:00:012000;00:00:00:010000;00:00:00:013000;;170873;440935;13169;2068;94;18;0;0;;170867;440937;13172;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:39:57.604599	1560616797.604599;2019-06-15	16:40:02.621689	1560616802.621689;00:00:05;00:02:35;15600;5181.38;4210.07;0;0;25995;653252;653252;0;26095;653252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:013000;00:00:00:012000;00:00:00:010000;00:00:00:013000;00:00:00:013000;00:00:00:012000;00:00:00:010000;00:00:00:013000;;177930;459801;13341;2068;94;18;0;0;;177924;459803;13344;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:40:02.623104	1560616802.623104;2019-06-15	16:40:07.641577	1560616807.641577;00:00:05;00:02:40;16100;4993.82;4234.57;0;0;25059;678311;678311;25;25034;678286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:013000;00:00:00:012000;00:00:00:011000;00:00:00:013000;00:00:00:013000;00:00:00:012000;00:00:00:011000;00:00:00:013000;;184208;478034;13864;2068;94;18;0;0;;184202;478036;13867;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:40:07.642246	1560616807.642246;2019-06-15	16:40:12.647526	1560616812.647526;00:00:05;00:02:45;16600;4116.08;4230.96;0;0;20601;698912;698912;100;20526;698812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:019000;00:00:00:012000;00:00:00:013000;00:00:00:013000;00:00:00:019000;00:00:00:012000;00:00:00:013000;00:00:00:013000;;187162;494774;14696;2068;94;18;0;0;;187154;494778;14699;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:40:12.653205	1560616812.653205;2019-06-15	16:40:17.645417	1560616817.645417;00:00:04;00:02:50;17100;4792.07;4247.27;0;0;23922;722834;722834;100;23922;722734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:016000;00:00:00:013000;00:00:00:011000;00:00:00:013000;00:00:00:016000;00:00:00:013000;00:00:00:011000;00:00:00:013000;;190813;514749;14992;2068;94;18;0;0;;190804;514754;14995;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:40:17.646388	1560616817.646388;2019-06-15	16:40:22.651796	1560616822.651796;00:00:05;00:02:55;17600;5193.61;4274.28;0;0;25994;748828;748828;38;26056;748790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:016000;00:00:00:013000;00:00:00:009000;00:00:00:013000;00:00:00:016000;00:00:00:013000;00:00:00:009000;00:00:00:013000;;192208;539232;15170;2068;94;18;0;0;;192197;539239;15173;2069;94;18;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:40:22.652484	1560616822.652484;2019-06-15	16:40:27.658221	1560616827.658221;00:00:05;00:03:00;18100;4366.43;4276.81;0;0;21854;770682;770682;41;21851;770641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;00:00:00:018000;00:00:00:013000;00:00:00:017000;00:00:00:013000;00:00:00:018000;00:00:00:013000;00:00:00:017000;00:00:00:013000;;194621;557299;16323;2279;101;18;0;0;;194609;557307;16326;2280;101;18;0;0;
